Q_rated,	K_ind,	G_dc,	K_rel_freq_required,	f_sw,	I_sw_rms,	I_sw_peak,	V_sw_peak,	I_diode_avg,	I_diode_peak,	V_diode_peak_fullfbridge,	V_diode_peak_halfbridge,	I_Lm_peak,	I_Cs_rms,	V_Cs_peak,	Ls,	Cs,	Lm
0.3, 4, 0.7707915352125317, 1.55, 310000, 1.566412975548717, 5.02378517677638, 252, 11.29089162908982, 37.13047708026111, 25.2, 50.4, 1.95040591245017, 3.132825951097434, 60.23495171001035, 1.75288302834295E-05, 3.612662040337326E-08, 7.011532113371799E-05
0.3, 4, 1.252572235246048, 0.76, 152000, 3.016829201336672, 8.913774403380495, 252, 18.34822610223704, 76.69415072491481, 25.2, 50.4, 5.265273250925614, 6.033658402673344, 479.3395285125617, 1.75288302834295E-05, 3.612662040337326E-08, 7.011532113371799E-05
, , , , , , , , , , , , , , , , , , ,
0.3, 6, 0.7686716172240006, 1.69, 338000, 1.435967668584881, 4.607246120123249, 252, 11.2598381429297, 37.00931895063714, 25.2, 50.4, 1.189275981389124, 2.871935337169762, 50.59330659243581, 1.75288302834295E-05, 3.612662040337326E-08, 0.000105172981700577
0.3, 6, 1.251292954888701, 0.6799999999999999, 136000, 2.801333664243674, 9.025673207206419, 252, 18.32948664387744, 84.59625996919004, 25.2, 50.4, 3.496180300494754, 5.602667328487348, 423.7537645934845, 1.75288302834295E-05, 3.612662040337326E-08, 0.000105172981700577
, , , , , , , , , , , , , , , , , , ,
0.3, 8, 0.770147205790672, 1.76, 352000, 1.391125188939306, 4.438908306574242, 252, 11.2814532098243, 37.21792970211462, 25.2, 50.4, 0.858125577684361, 2.782250377878611, 47.2098954637744, 1.75288302834295E-05, 3.612662040337326E-08, 0.000140230642267436
0.3, 8, 1.244699833245782, 0.62, 124000, 2.798882721523647, 9.652839512595808, 252, 18.23290771356128, 92.4053447346638, 25.2, 50.4, 2.592733620514138, 5.597765443047294, 391.3333688086312, 1.75288302834295E-05, 3.612662040337326E-08, 0.000140230642267436
, , , , , , , , , , , , , , , , , , ,
0.2, 4, 0.7683326217318751, 1.73, 346000, 1.72242348238944, 6.144214034377343, 252, 11.25487238865052, 38.64791368930821, 25.2, 50.4, 2.612848296435527, 3.44484696477888, 39.2604592361817, 1.168588685561967E-05, 5.418993060505988E-08, 4.674354742247867E-05
0.2, 4, 1.245552604979935, 0.77, 154000, 3.687134608781212, 10.21967491119334, 252, 18.24539948701077, 77.027230305456, 25.2, 50.4, 8.763662597296102, 7.374269217562423, 507.7677969991269, 1.168588685561967E-05, 5.418993060505988E-08, 4.674354742247867E-05
, , , , , , , , , , , , , , , , , , ,
0.4, 4, 0.7689080595371796, 1.46, 292000, 1.475681803255304, 4.485729737059994, 252, 11.26330165337665, 36.1153833571543, 25.2, 50.4, 1.549182516562524, 2.951363606510607, 80.9049244678225, 2.337177371123934E-05, 2.709496530252994E-08, 9.348709484495735E-05
0.4, 4, 1.246382590852423, 0.76, 152000, 2.797364164748401, 8.580646241174438, 252, 18.25755748318978, 76.70264514934395, 25.2, 50.4, 3.753352852830834, 5.594728329496802, 466.4937621292642, 2.337177371123934E-05, 2.709496530252994E-08, 9.348709484495735E-05
, , , , , , , , , , , , , , , , , , ,
